Region,Group Name,Wiki_Link,Status
International,Márquez gambling ring,https://en.wikipedia.org/wiki/Raymond_M%C3%A1rquez,Active
International,Polanco-Rodriguez organization,https://en.wikipedia.org/wiki/Santiago_Luis_Polanco_Rodr%C3%ADguez,Active
International,Chaldean mafia,https://en.wikipedia.org/wiki/Chaldean_mafia,Active
International,Hawaii,https://en.wikipedia.org/wiki/Crime_in_Hawaii,Active
International,The Company,https://en.wikipedia.org/wiki/The_Company_(Hawaiian_organized_crime),Active
International,Leota mob,https://en.wikipedia.org/wiki/Alema_Leota,Active
International,Los Angeles,https://en.wikipedia.org/wiki/Crime_in_Los_Angeles,Active
International,Nash gang,https://en.wikipedia.org/wiki/Eddie_Nash,Active
International,Wonderland Gang,https://en.wikipedia.org/wiki/Wonderland_Gang,Active
International,Elkins mob,https://en.wikipedia.org/wiki/Jim_Elkins_(Oregon_criminal),Active
International,Binion mob,https://en.wikipedia.org/wiki/Benny_Binion,Active
International,The Commission,https://en.wikipedia.org/wiki/The_Commission_(mafia),Active
International,Five Families,https://en.wikipedia.org/wiki/Five_Families,Active
International,Bonanno,https://en.wikipedia.org/wiki/Bonanno_crime_family,Active
International,Indelicato crew,https://en.wikipedia.org/wiki/Al_Indelicato,Active
International,The Motion Lounge Crew,https://en.wikipedia.org/wiki/Dominick_Napolitano,Active
International,Colombo,https://en.wikipedia.org/wiki/Colombo_crime_family,Active
International,Scarpa crew,https://en.wikipedia.org/wiki/Gregory_Scarpa,Active
International,Genovese,https://en.wikipedia.org/wiki/Genovese_crime_family,Active
International,116th Street Crew,https://en.wikipedia.org/wiki/116th_Street_Crew,Active
International,Greenwich Village Crew,https://en.wikipedia.org/wiki/Greenwich_Village_Crew,Active
International,New Jersey Crew,https://en.wikipedia.org/wiki/Genovese_crime_family_New_Jersey_faction,Active
International,Gambino,https://en.wikipedia.org/wiki/Gambino_crime_family,Active
International,Ozone Park Boys,https://en.wikipedia.org/wiki/Ozone_Park_Boys,Active
International,DeMeo crew,https://en.wikipedia.org/wiki/Roy_DeMeo,Active
International,Baltimore Crew,https://en.wikipedia.org/wiki/Baltimore_Crew,Active
International,South Florida faction,https://en.wikipedia.org/wiki/Leonard_DiMaria,Active
International,New Jersey faction,https://en.wikipedia.org/wiki/Thomas_Cacciopoli,Active
International,The Bergin Crew,https://en.wikipedia.org/wiki/Bergin_Hunt_and_Fish_Club#The_Bergin_Crew,Active
International,Cherry Hill Gambinos,https://en.wikipedia.org/wiki/John_Gambino,Active
International,Lucchese,https://en.wikipedia.org/wiki/Lucchese_crime_family,Active
International,The Jersey Crew,https://en.wikipedia.org/wiki/The_Jersey_Crew,Active
International,The Vario Crew,https://en.wikipedia.org/wiki/The_Vario_Crew,Active
International,107th Street gang,https://en.wikipedia.org/wiki/Tommy_Lucchese#107th_Street_gang,Active
International,Magaddino crime family,https://en.wikipedia.org/wiki/Magaddino_crime_family,Active
International,DeCavalcante crime family,https://en.wikipedia.org/wiki/DeCavalcante_crime_family,Active
International,Chicago Outfit,https://en.wikipedia.org/wiki/Chicago_Outfit,Active
International,Philadelphia crime family,https://en.wikipedia.org/wiki/Philadelphia_crime_family,Active
International,Pittsburgh crime family,https://en.wikipedia.org/wiki/Pittsburgh_crime_family,Active
International,Patriarca crime family,https://en.wikipedia.org/wiki/Patriarca_crime_family,Active
International,Angiulo Brothers crew,https://en.wikipedia.org/wiki/Angiulo_Brothers,Active
International,Cleveland crime family,https://en.wikipedia.org/wiki/Cleveland_crime_family,Active
International,Los Angeles crime family,https://en.wikipedia.org/wiki/Los_Angeles_crime_family,Active
International,Kansas City crime family,https://en.wikipedia.org/wiki/Kansas_City_crime_family,Active
International,Trafficante crime family,https://en.wikipedia.org/wiki/Trafficante_crime_family,Active
International,Detroit Partnership,https://en.wikipedia.org/wiki/Detroit_Partnership,Active
International,Milwaukee crime family,https://en.wikipedia.org/wiki/Milwaukee_crime_family,Active
International,Morello crime family,https://en.wikipedia.org/wiki/Morello_crime_family,Active
International,Genna crime family,https://en.wikipedia.org/wiki/Genna_crime_family,Active
International,Porrello crime family,https://en.wikipedia.org/wiki/Porrello_crime_family,Active
International,St. Louis crime family,https://en.wikipedia.org/wiki/St._Louis_crime_family,Active
International,Rochester Crime Family,https://en.wikipedia.org/wiki/Rochester_Crime_Family,Active
International,Bufalino crime family,https://en.wikipedia.org/wiki/Bufalino_crime_family,Active
International,Dallas crime family,https://en.wikipedia.org/wiki/Dallas_crime_family,Active
International,Denver crime family,https://en.wikipedia.org/wiki/Denver_crime_family,Active
International,San Francisco crime family,https://en.wikipedia.org/wiki/San_Francisco_crime_family,Active
International,New Orleans crime family,https://en.wikipedia.org/wiki/New_Orleans_crime_family,Active
International,San Jose crime family,https://en.wikipedia.org/wiki/San_Jose_crime_family,Active
International,Seattle crime family,https://en.wikipedia.org/wiki/Seattle_crime_family,Active
International,Omaha crime family,https://en.wikipedia.org/wiki/Anthony_J._Biase,Active
International,Cardinelli gang,https://en.wikipedia.org/wiki/Sam_Cardinelli,Active
International,New York Camorra,https://en.wikipedia.org/wiki/Camorra_in_New_York,Active
International,East Harlem Purple Gang,https://en.wikipedia.org/wiki/East_Harlem_Purple_Gang,Active
International,Las Vegas crew,https://en.wikipedia.org/wiki/Anthony_Spilotro,Active
International,The Bugs and Meyer Mob,https://en.wikipedia.org/wiki/The_Bugs_and_Meyer_Mob,Active
International,Kaplan gang,https://en.wikipedia.org/wiki/Nathan_Kaplan,Active
International,New York divorce coercion gang,https://en.wikipedia.org/wiki/New_York_divorce_coercion_gang,Active
International,Rosenzweig gang,https://en.wikipedia.org/wiki/Joseph_Rosenzweig,Active
International,Rothstein organization,https://en.wikipedia.org/wiki/Arnold_Rothstein,Active
