Date,Close_Price,Max_Temp_C,Rainfall_mm,Rolling_Rain_30d
2000-09-20,79.1500015258789,25.0,0.0,52.8
2000-09-21,77.80000305175781,25.5,0.0,52.8
2000-09-22,78.0,26.5,0.0,52.8
2000-09-25,79.05000305175781,25.5,7.3,60.0
2000-09-26,81.75,16.1,5.7,65.7
2000-09-27,78.94999694824219,17.0,0.3,66.0
2000-09-28,79.8499984741211,20.4,0.0,62.599999999999994
2000-09-29,83.0,23.5,0.0,57.8
2000-10-02,79.3499984741211,25.6,0.0,55.599999999999994
2000-10-03,79.4000015258789,27.0,0.1,55.699999999999996
2000-10-04,79.3499984741211,28.7,0.2,55.900000000000006
2000-10-05,78.69999694824219,26.7,18.9,74.8
2000-10-06,79.44999694824219,24.8,3.1,77.9
2000-10-09,79.94999694824219,26.2,0.2,78.1
2000-10-10,80.75,28.5,0.0,74.3
2000-10-11,83.1500015258789,28.4,0.0,67.8
2000-10-12,81.30000305175781,29.6,0.0,67.8
2000-10-13,81.05000305175781,30.6,0.0,64.69999999999999
2000-10-16,85.6500015258789,28.2,0.0,60.6
2000-10-17,88.69999694824219,28.2,0.5,61.099999999999994
2000-10-18,88.25,29.8,0.2,39.6
2000-10-19,86.69999694824219,29.7,0.0,39.6
2000-10-20,84.1500015258789,30.7,0.5,40.0
2000-10-23,78.44999694824219,29.8,1.2,41.199999999999996
2000-10-24,79.25,28.7,0.0,41.199999999999996
2000-10-25,78.05000305175781,29.7,0.0,41.199999999999996
2000-10-26,75.4000015258789,29.2,0.0,40.9
2000-10-27,75.5999984741211,29.5,0.6,38.8
2000-10-30,73.5,20.7,3.9,42.699999999999996
2000-10-31,74.4000015258789,25.1,0.1,42.8
2000-11-01,73.9000015258789,25.9,0.0,42.8
2000-11-02,74.25,26.3,0.0,42.8
2000-11-03,73.5999984741211,27.2,2.2,45.0
2000-11-06,74.69999694824219,22.8,0.7,38.4
2000-11-07,74.5999984741211,20.5,8.6,41.3
2000-11-08,75.30000305175781,23.3,0.3,41.3
2000-11-09,74.0,24.9,0.0,41.3
2000-11-10,74.1500015258789,25.8,0.8,42.1
2000-11-13,71.44999694824219,26.0,11.8,53.9
2000-11-14,71.4000015258789,24.4,20.8,74.6
2000-11-15,70.30000305175781,25.7,1.7,76.1
2000-11-16,68.8499984741211,23.3,0.2,57.400000000000006
2000-11-17,68.55000305175781,24.8,14.1,68.4
2000-11-20,70.3499984741211,24.6,0.3,68.5
2000-11-21,68.55000305175781,27.4,15.2,83.7
2000-11-22,68.30000305175781,26.2,9.9,93.60000000000001
2000-11-27,68.0,24.3,8.2,101.8
2000-11-28,69.5,24.3,8.3,110.10000000000001
2000-11-29,70.0999984741211,26.4,26.4,136.5
2000-11-30,67.19999694824219,24.9,11.4,147.4
2000-12-01,67.0,25.0,5.2,152.4
2000-12-04,67.30000305175781,25.8,10.0,162.4
2000-12-05,66.5,26.3,1.0,162.9
2000-12-06,66.1500015258789,25.2,3.2,164.9
2000-12-07,66.3499984741211,26.5,0.0,164.9
2000-12-08,63.650001525878906,26.9,0.0,164.9
2000-12-11,64.0999984741211,26.5,0.4,165.29999999999998
2000-12-12,64.19999694824219,27.2,0.0,164.7
2000-12-13,63.75,27.3,1.1,161.9
2000-12-14,61.54999923706055,27.2,1.6,163.4
2000-12-15,62.900001525878906,25.1,1.2,164.6
2000-12-18,62.70000076293945,18.7,24.6,189.2
2000-12-19,65.05000305175781,20.6,7.1,194.10000000000002
2000-12-20,65.44999694824219,25.6,0.5,193.9
2000-12-21,66.55000305175781,27.2,0.5,185.8
2000-12-22,65.4000015258789,27.4,0.8,186.29999999999998
2000-12-26,67.30000305175781,26.5,1.4,187.7
2000-12-27,66.4000015258789,26.7,4.8,191.70000000000002
2000-12-28,67.3499984741211,26.6,3.3,183.2
2000-12-29,65.55000305175781,25.5,3.2,165.6
2001-01-02,63.400001525878906,25.0,1.4,165.29999999999998
2001-01-03,63.45000076293945,24.6,4.1,169.20000000000002
2001-01-04,63.349998474121094,25.7,5.9,161.0
2001-01-05,64.3499984741211,27.6,0.5,161.2
2001-01-08,63.849998474121094,27.9,2.0,148.0
2001-01-09,63.79999923706055,26.5,19.3,157.4
2001-01-10,63.349998474121094,25.7,12.4,161.6
2001-01-11,63.599998474121094,27.7,0.3,153.60000000000002
2001-01-12,65.0,27.5,1.8,129.0
2001-01-16,67.4000015258789,26.3,0.4,118.0
2001-01-17,70.19999694824219,27.7,0.2,113.00000000000001
2001-01-18,66.75,27.4,3.3,106.3
2001-01-19,68.30000305175781,27.7,2.0,107.30000000000001
2001-01-22,71.25,25.5,4.8,108.9
2001-01-23,69.8499984741211,26.4,8.5,117.4
2001-01-24,70.05000305175781,27.0,8.5,125.9
2001-01-25,67.8499984741211,26.7,7.7,133.2
2001-01-26,67.0999984741211,26.5,1.2,134.4
2001-01-29,65.4000015258789,27.3,4.7,138.0
2001-01-30,64.19999694824219,26.9,5.9,142.3
2001-01-31,63.75,27.8,6.3,147.4
2001-02-01,64.69999694824219,27.6,2.9,125.7
2001-02-02,63.20000076293945,29.2,2.6,121.2
2001-02-05,62.70000076293945,27.9,5.8,126.5
2001-02-06,62.20000076293945,28.9,4.8,130.8
2001-02-07,61.75,27.9,1.2,131.2
2001-02-08,62.0,26.6,12.0,141.79999999999998
2001-02-09,62.650001525878906,25.5,13.5,150.5
2001-02-12,62.29999923706055,29.2,1.3,148.5
2001-02-13,62.79999923706055,25.3,4.6,149.9
2001-02-14,62.79999923706055,27.0,4.4,152.9
2001-02-15,61.5,27.2,10.5,159.3
2001-02-16,59.79999923706055,27.8,12.3,165.7
2001-02-20,62.75,28.4,0.0,165.2
2001-02-21,63.150001525878906,28.4,0.2,163.4
2001-02-22,62.849998474121094,27.4,0.3,144.39999999999998
2001-02-23,64.94999694824219,27.9,3.9,135.9
2001-02-26,63.900001525878906,27.6,0.2,135.8
2001-02-27,64.4000015258789,27.0,0.1,134.1
2001-02-28,63.900001525878906,27.0,1.2,134.9
2001-03-01,62.75,26.6,0.5,135.2
2001-03-02,63.29999923706055,26.6,0.0,131.9
2001-03-05,63.70000076293945,26.8,14.1,144.0
2001-03-06,65.0,25.3,6.2,145.4
2001-03-07,65.80000305175781,26.6,11.0,147.9
2001-03-08,64.1500015258789,26.0,9.0,148.4
2001-03-09,61.70000076293945,23.7,21.9,162.60000000000002
2001-03-12,62.04999923706055,23.6,10.3,171.7
2001-03-13,60.95000076293945,26.9,0.0,167.0
2001-03-14,61.0,26.3,0.7,161.8
2001-03-15,59.099998474121094,27.6,0.1,155.6
2001-03-16,59.0,26.7,0.2,152.9
2001-03-19,59.900001525878906,27.1,1.1,151.39999999999998
2001-03-20,60.04999923706055,26.9,4.4,150.0
2001-03-21,61.150001525878906,27.2,0.1,145.29999999999998
2001-03-22,60.20000076293945,27.6,0.0,144.1
2001-03-23,60.099998474121094,27.5,0.0,132.1
2001-03-26,61.849998474121094,28.2,0.7,119.3
2001-03-27,61.04999923706055,27.3,2.6,120.6
2001-03-28,61.150001525878906,26.8,8.0,124.0
2001-03-29,61.75,24.9,17.8,137.39999999999998
2001-03-30,60.29999923706055,22.3,13.5,140.39999999999998
2001-04-02,59.5,26.9,0.6,128.70000000000002
2001-04-03,58.70000076293945,26.5,2.3,131.0
2001-04-04,59.25,25.8,1.5,132.29999999999998
2001-04-05,59.099998474121094,26.2,0.6,132.6
2001-04-06,58.099998474121094,26.7,0.0,128.7
2001-04-09,57.599998474121094,25.4,0.0,128.49999999999997
2001-04-10,57.349998474121094,27.1,0.0,128.39999999999998
2001-04-11,57.349998474121094,27.5,0.4,127.60000000000001
2001-04-12,57.599998474121094,26.1,0.2,127.3
2001-04-16,56.650001525878906,24.3,0.1,127.4
2001-04-17,56.20000076293945,23.9,0.0,113.3
2001-04-18,58.650001525878906,24.5,0.0,107.1
2001-04-19,57.54999923706055,25.5,0.0,96.1
2001-04-20,57.150001525878906,26.7,0.0,87.1
2001-04-23,61.75,27.3,0.0,65.2
2001-04-24,58.599998474121094,27.3,0.0,54.900000000000006
2001-04-25,57.79999923706055,26.6,0.0,54.900000000000006
2001-04-26,58.5,26.2,0.0,54.2
2001-04-27,60.95000076293945,26.9,0.0,54.1
2001-04-30,61.849998474121094,25.3,0.0,53.900000000000006
2001-05-01,64.5,24.8,0.0,52.800000000000004
2001-05-02,63.20000076293945,26.4,0.0,48.400000000000006
2001-05-03,64.5999984741211,26.9,0.0,48.300000000000004
2001-05-04,63.650001525878906,26.8,0.0,48.300000000000004
2001-05-07,66.0,22.2,0.0,48.300000000000004
2001-05-08,66.4000015258789,22.4,0.0,47.6
2001-05-09,65.55000305175781,24.6,0.0,45.0
2001-05-10,65.80000305175781,26.3,0.0,37.0
2001-05-11,64.94999694824219,26.2,0.3,19.5
2001-05-14,62.0,20.6,0.3,6.3
2001-05-15,62.349998474121094,19.5,0.0,5.7
2001-05-16,62.75,20.1,13.9,17.3
2001-05-17,62.75,21.8,6.6,22.4
2001-05-18,63.79999923706055,20.0,0.0,21.799999999999997
2001-05-21,64.9000015258789,20.9,0.0,21.799999999999997
2001-05-22,65.05000305175781,21.7,0.0,21.799999999999997
2001-05-23,63.54999923706055,21.7,0.6,22.4
2001-05-24,62.79999923706055,19.6,3.7,25.7
2001-05-25,59.900001525878906,17.9,11.6,37.1
2001-05-29,59.79999923706055,23.4,0.0,37.0
2001-05-30,59.150001525878906,24.3,0.0,37.0
2001-05-31,57.150001525878906,23.5,0.0,37.0
2001-06-01,57.900001525878906,22.4,0.0,37.0
2001-06-04,59.45000076293945,22.6,0.0,37.0
2001-06-05,59.70000076293945,23.3,0.0,37.0
2001-06-06,58.400001525878906,23.0,0.0,37.0
2001-06-07,57.70000076293945,23.9,0.0,37.0
2001-06-08,58.150001525878906,23.2,0.0,37.0
2001-06-11,57.0,21.7,0.0,37.0
2001-06-12,57.650001525878906,21.2,0.0,37.0
2001-06-13,57.75,20.9,0.0,37.0
2001-06-14,58.849998474121094,21.9,0.0,37.0
2001-06-15,59.400001525878906,23.4,0.0,37.0
2001-06-18,60.95000076293945,23.1,0.1,37.1
2001-06-19,57.54999923706055,21.3,0.0,37.1
2001-06-20,55.20000076293945,20.7,0.0,37.1
2001-06-21,57.5,17.3,0.0,37.1
2001-06-22,55.900001525878906,20.2,0.0,37.1
2001-06-25,55.29999923706055,22.7,0.0,36.800000000000004
2001-06-26,55.5,23.5,0.0,36.5
2001-06-27,55.25,19.4,0.0,36.5
2001-06-28,55.5,20.4,0.0,22.6
2001-06-29,56.099998474121094,20.5,0.0,15.999999999999998
2001-07-02,54.900001525878906,23.0,0.0,16.0
2001-07-03,55.0,24.0,0.0,16.0
2001-07-05,54.0,25.0,0.0,16.0
2001-07-06,53.849998474121094,24.0,0.0,15.4
2001-07-09,52.95000076293945,22.2,0.0,11.7
2001-07-10,52.5,22.8,0.0,0.1
2001-07-11,52.5,23.5,0.0,0.1
2001-07-12,52.099998474121094,21.7,2.3,2.4
2001-07-13,52.04999923706055,19.4,0.4,2.8
2001-07-16,52.25,23.1,0.0,2.8
2001-07-17,52.0,23.0,0.0,2.8
2001-07-18,52.849998474121094,23.6,0.0,2.8
2001-07-19,52.20000076293945,25.0,0.0,2.8
2001-07-20,53.75,25.8,0.0,2.8
2001-07-23,53.95000076293945,19.7,0.0,2.8
2001-07-24,55.20000076293945,21.4,1.8,4.6
2001-07-25,52.650001525878906,24.0,1.6,6.2
2001-07-26,51.400001525878906,25.2,0.0,6.2
2001-07-27,51.29999923706055,25.5,0.0,6.2
2001-07-30,51.849998474121094,21.6,0.0,6.2
2001-07-31,51.95000076293945,22.2,0.0,6.1000000000000005
2001-08-01,51.25,23.3,0.0,6.1000000000000005
2001-08-02,50.45000076293945,23.9,0.0,6.1000000000000005
2001-08-03,50.400001525878906,23.7,0.0,6.1000000000000005
2001-08-06,49.849998474121094,24.2,0.0,6.1000000000000005
2001-08-07,49.70000076293945,23.7,0.0,6.1000000000000005
2001-08-08,49.650001525878906,23.7,0.0,6.1000000000000005
2001-08-09,50.099998474121094,22.5,0.0,6.1000000000000005
2001-08-10,48.400001525878906,22.0,0.0,6.1000000000000005
2001-08-13,49.349998474121094,23.0,0.0,6.1000000000000005
2001-08-14,49.45000076293945,23.2,0.0,6.1000000000000005
2001-08-15,49.20000076293945,23.0,0.0,6.1000000000000005
2001-08-16,49.150001525878906,22.5,0.0,6.1000000000000005
